,Year,ZIP_Code,Geography_Type,Strata,Strata_Name,Cause,Cause_Desc,ICD_Revision,Count,Annotation_Code,Annotation_Desc,Data_Revision_Date
39424,2019,93650,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,42.0,,,12/06/2023
39425,2019,93650,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
39426,2019,93650,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
39427,2019,93650,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
39428,2019,93650,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
39429,2019,93650,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
39430,2019,93650,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
39431,2019,93650,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
39432,2019,93650,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
39433,2019,93650,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
39434,2019,93650,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
39435,2019,93650,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,16.0,,,12/06/2023
39436,2019,93650,Residence,Gender,Female,ALL,All causes (total),ICD-10,20.0,,,12/06/2023
39437,2019,93650,Residence,Gender,Male,ALL,All causes (total),ICD-10,22.0,,,12/06/2023
39440,2019,93650,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
39956,2019,93701,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,70.0,,,12/06/2023
39957,2019,93701,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
39958,2019,93701,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
39959,2019,93701,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
39960,2019,93701,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
39961,2019,93701,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
39962,2019,93701,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
39963,2019,93701,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,12.0,,,12/06/2023
39964,2019,93701,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,13.0,,,12/06/2023
39965,2019,93701,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,15.0,,,12/06/2023
39966,2019,93701,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
39967,2019,93701,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
39968,2019,93701,Residence,Gender,Female,ALL,All causes (total),ICD-10,28.0,,,12/06/2023
39969,2019,93701,Residence,Gender,Male,ALL,All causes (total),ICD-10,42.0,,,12/06/2023
39972,2019,93701,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,0.0,,,12/06/2023
39984,2019,93702,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,306.0,,,12/06/2023
39985,2019,93702,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
39986,2019,93702,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
39987,2019,93702,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
39988,2019,93702,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
39989,2019,93702,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,13.0,,,12/06/2023
39990,2019,93702,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,12.0,,,12/06/2023
39991,2019,93702,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,25.0,,,12/06/2023
39992,2019,93702,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,56.0,,,12/06/2023
39993,2019,93702,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,74.0,,,12/06/2023
39994,2019,93702,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,58.0,,,12/06/2023
39995,2019,93702,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,60.0,,,12/06/2023
39996,2019,93702,Residence,Gender,Female,ALL,All causes (total),ICD-10,123.0,,,12/06/2023
39997,2019,93702,Residence,Gender,Male,ALL,All causes (total),ICD-10,183.0,,,12/06/2023
40000,2019,93702,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,18.0,,,12/06/2023
40012,2019,93703,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,223.0,,,12/06/2023
40013,2019,93703,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40014,2019,93703,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40015,2019,93703,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40016,2019,93703,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,11.0,,,12/06/2023
40017,2019,93703,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40018,2019,93703,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,11.0,,,12/06/2023
40019,2019,93703,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,29.0,,,12/06/2023
40020,2019,93703,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,44.0,,,12/06/2023
40021,2019,93703,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,43.0,,,12/06/2023
40022,2019,93703,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,38.0,,,12/06/2023
40023,2019,93703,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,40.0,,,12/06/2023
40024,2019,93703,Residence,Gender,Female,ALL,All causes (total),ICD-10,91.0,,,12/06/2023
40025,2019,93703,Residence,Gender,Male,ALL,All causes (total),ICD-10,132.0,,,12/06/2023
40028,2019,93703,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,14.0,,,12/06/2023
40040,2019,93704,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,274.0,,,12/06/2023
40041,2019,93704,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40042,2019,93704,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40043,2019,93704,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40044,2019,93704,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40045,2019,93704,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40046,2019,93704,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40047,2019,93704,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,17.0,,,12/06/2023
40048,2019,93704,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,34.0,,,12/06/2023
40049,2019,93704,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,48.0,,,12/06/2023
40050,2019,93704,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,62.0,,,12/06/2023
40051,2019,93704,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,91.0,,,12/06/2023
40052,2019,93704,Residence,Gender,Female,ALL,All causes (total),ICD-10,129.0,,,12/06/2023
40053,2019,93704,Residence,Gender,Male,ALL,All causes (total),ICD-10,145.0,,,12/06/2023
